county,precinct,office,district,party,candidate,absentee,early,votes
Hawaii,01-01,President,,G,"STEIN, Jill",32,3,49
Hawaii,01-01,President,,L,"JOHNSON, Gary",25,5,35
Hawaii,01-01,President,,R,"TRUMP, Donald J.",130,38,179
Hawaii,01-01,President,,D,"CLINTON, Hillary",498,95,470
Hawaii,01-01,President,,C,"CASTLE, Darrell L.",13,2,5
Hawaii,01-01,U.S. Senate,,A,"GIUFFRE, John M. (Raghu)",0,0,4
Hawaii,01-01,U.S. Senate,,C,"ALLISON, Joy J.",7,2,22
Hawaii,01-01,U.S. Senate,,D,"SCHATZ, Brian",603,107,518
Hawaii,01-01,U.S. Senate,,L,"KOKOSKI, Michael A.",13,1,17
Hawaii,01-01,U.S. Senate,,R,"CARROLL, John",88,26,152
Hawaii,01-01,U.S. House,2,D,"GABBARD, Tulsi",612,115,593
Hawaii,01-01,U.S. House,2,R,"KAAIHUE, Angela Aulani",91,23,122
Hawaii,01-01,State House,1,D,"NAKASHIMA, Mark M.",578,111,539
Hawaii,01-01,State House,1,R,"YOUNG, Byron",116,25,162
Hawaii,01-02,President,,G,"STEIN, Jill",11,2,19
Hawaii,01-02,President,,L,"JOHNSON, Gary",8,2,11
Hawaii,01-02,President,,R,"TRUMP, Donald J.",66,4,67
Hawaii,01-02,President,,D,"CLINTON, Hillary",175,28,153
Hawaii,01-02,President,,C,"CASTLE, Darrell L.",3,0,3
Hawaii,01-02,U.S. Senate,,A,"GIUFFRE, John M. (Raghu)",0,0,3
Hawaii,01-02,U.S. Senate,,C,"ALLISON, Joy J.",3,0,7
Hawaii,01-02,U.S. Senate,,D,"SCHATZ, Brian",208,29,181
Hawaii,01-02,U.S. Senate,,L,"KOKOSKI, Michael A.",1,1,9
Hawaii,01-02,U.S. Senate,,R,"CARROLL, John",49,4,47
Hawaii,01-02,U.S. House,2,D,"GABBARD, Tulsi",221,28,200
Hawaii,01-02,U.S. House,2,R,"KAAIHUE, Angela Aulani",33,6,47
Hawaii,01-02,State House,1,D,"NAKASHIMA, Mark M.",193,31,182
Hawaii,01-02,State House,1,R,"YOUNG, Byron",59,3,59
Hawaii,01-03,President,,G,"STEIN, Jill",12,1,8
Hawaii,01-03,President,,L,"JOHNSON, Gary",10,2,11
Hawaii,01-03,President,,R,"TRUMP, Donald J.",48,13,58
Hawaii,01-03,President,,D,"CLINTON, Hillary",213,46,182
Hawaii,01-03,President,,C,"CASTLE, Darrell L.",2,0,4
Hawaii,01-03,U.S. Senate,,A,"GIUFFRE, John M. (Raghu)",1,1,1
Hawaii,01-03,U.S. Senate,,C,"ALLISON, Joy J.",4,2,7
Hawaii,01-03,U.S. Senate,,D,"SCHATZ, Brian",239,46,193
Hawaii,01-03,U.S. Senate,,L,"KOKOSKI, Michael A.",5,2,7
Hawaii,01-03,U.S. Senate,,R,"CARROLL, John",35,7,41
Hawaii,01-03,U.S. House,2,D,"GABBARD, Tulsi",245,54,215
Hawaii,01-03,U.S. House,2,R,"KAAIHUE, Angela Aulani",34,6,37
Hawaii,01-03,State House,1,D,"NAKASHIMA, Mark M.",235,48,195
Hawaii,01-03,State House,1,R,"YOUNG, Byron",42,10,55
Hawaii,01-04,President,,G,"STEIN, Jill",2,0,7
Hawaii,01-04,President,,L,"JOHNSON, Gary",7,1,2
Hawaii,01-04,President,,R,"TRUMP, Donald J.",13,11,24
Hawaii,01-04,President,,D,"CLINTON, Hillary",61,20,63
Hawaii,01-04,President,,C,"CASTLE, Darrell L.",0,0,1
Hawaii,01-04,U.S. Senate,,A,"GIUFFRE, John M. (Raghu)",0,0,1
Hawaii,01-04,U.S. Senate,,C,"ALLISON, Joy J.",0,0,2
Hawaii,01-04,U.S. Senate,,D,"SCHATZ, Brian",67,22,69
Hawaii,01-04,U.S. Senate,,L,"KOKOSKI, Michael A.",2,1,2
Hawaii,01-04,U.S. Senate,,R,"CARROLL, John",14,8,16
Hawaii,01-04,U.S. House,2,D,"GABBARD, Tulsi",68,26,69
Hawaii,01-04,U.S. House,2,R,"KAAIHUE, Angela Aulani",13,6,20
Hawaii,01-04,State House,1,D,"NAKASHIMA, Mark M.",58,24,60
Hawaii,01-04,State House,1,R,"YOUNG, Byron",18,7,22
Hawaii,01-05,President,,G,"STEIN, Jill",19,3,20
Hawaii,01-05,President,,L,"JOHNSON, Gary",13,6,17
Hawaii,01-05,President,,R,"TRUMP, Donald J.",90,52,106
Hawaii,01-05,President,,D,"CLINTON, Hillary",361,81,299
Hawaii,01-05,President,,C,"CASTLE, Darrell L.",7,1,6
Hawaii,01-05,U.S. Senate,,A,"GIUFFRE, John M. (Raghu)",0,0,5
Hawaii,01-05,U.S. Senate,,C,"ALLISON, Joy J.",7,2,11
Hawaii,01-05,U.S. Senate,,D,"SCHATZ, Brian",405,92,326
Hawaii,01-05,U.S. Senate,,L,"KOKOSKI, Michael A.",6,4,7
Hawaii,01-05,U.S. Senate,,R,"CARROLL, John",63,35,76
Hawaii,01-05,U.S. House,2,D,"GABBARD, Tulsi",408,109,354
Hawaii,01-05,U.S. House,2,R,"KAAIHUE, Angela Aulani",60,27,72
Hawaii,01-05,State House,1,D,"NAKASHIMA, Mark M.",393,85,313
Hawaii,01-05,State House,1,R,"YOUNG, Byron",79,44,97
Hawaii,01-06,President,,G,"STEIN, Jill",10,5,17
Hawaii,01-06,President,,L,"JOHNSON, Gary",19,6,16
Hawaii,01-06,President,,R,"TRUMP, Donald J.",84,22,109
Hawaii,01-06,President,,D,"CLINTON, Hillary",292,100,207
Hawaii,01-06,President,,C,"CASTLE, Darrell L.",2,1,5
Hawaii,01-06,U.S. Senate,,A,"GIUFFRE, John M. (Raghu)",0,0,4
Hawaii,01-06,U.S. Senate,,C,"ALLISON, Joy J.",2,4,14
Hawaii,01-06,U.S. Senate,,D,"SCHATZ, Brian",332,105,245
Hawaii,01-06,U.S. Senate,,L,"KOKOSKI, Michael A.",6,4,8
Hawaii,01-06,U.S. Senate,,R,"CARROLL, John",56,17,64
Hawaii,01-06,U.S. House,2,D,"GABBARD, Tulsi",334,111,266
Hawaii,01-06,U.S. House,2,R,"KAAIHUE, Angela Aulani",45,15,71
Hawaii,01-06,State House,1,D,"NAKASHIMA, Mark M.",322,107,249
Hawaii,01-06,State House,1,R,"YOUNG, Byron",67,21,80
Hawaii,01-07,President,,G,"STEIN, Jill",15,9,24
Hawaii,01-07,President,,L,"JOHNSON, Gary",7,5,13
Hawaii,01-07,President,,R,"TRUMP, Donald J.",78,35,91
Hawaii,01-07,President,,D,"CLINTON, Hillary",247,100,293
Hawaii,01-07,President,,C,"CASTLE, Darrell L.",6,1,4
Hawaii,01-07,U.S. Senate,,A,"GIUFFRE, John M. (Raghu)",1,1,7
Hawaii,01-07,U.S. Senate,,C,"ALLISON, Joy J.",7,4,25
Hawaii,01-07,U.S. Senate,,D,"SCHATZ, Brian",269,110,313
Hawaii,01-07,U.S. Senate,,L,"KOKOSKI, Michael A.",7,0,6
Hawaii,01-07,U.S. Senate,,R,"CARROLL, John",55,28,55
Hawaii,01-07,U.S. House,2,D,"GABBARD, Tulsi",273,102,345
Hawaii,01-07,U.S. House,2,R,"KAAIHUE, Angela Aulani",56,39,59
Hawaii,01-07,State Senate,1,D,"KAHELE, Kaiali'i",278,117,336
Hawaii,01-07,State Senate,1,L,"ARIANOFF, Kimberly",53,22,61
Hawaii,01-07,State House,1,D,"NAKASHIMA, Mark M.",263,105,303
Hawaii,01-07,State House,1,R,"YOUNG, Byron",65,35,88
Hawaii,01-08,President,,G,"STEIN, Jill",47,12,49
Hawaii,01-08,President,,L,"JOHNSON, Gary",49,18,49
Hawaii,01-08,President,,R,"TRUMP, Donald J.",301,108,259
Hawaii,01-08,President,,D,"CLINTON, Hillary",1081,282,655
Hawaii,01-08,President,,C,"CASTLE, Darrell L.",19,4,11
Hawaii,01-08,U.S. Senate,,A,"GIUFFRE, John M. (Raghu)",6,3,8
Hawaii,01-08,U.S. Senate,,C,"ALLISON, Joy J.",21,5,23
Hawaii,01-08,U.S. Senate,,D,"SCHATZ, Brian",1216,331,770
Hawaii,01-08,U.S. Senate,,L,"KOKOSKI, Michael A.",20,8,27
Hawaii,01-08,U.S. Senate,,R,"CARROLL, John",200,68,170
Hawaii,01-08,U.S. House,2,D,"GABBARD, Tulsi",1215,335,829
Hawaii,01-08,U.S. House,2,R,"KAAIHUE, Angela Aulani",212,62,165
Hawaii,01-08,State Senate,1,D,"KAHELE, Kaiali'i",1277,341,856
Hawaii,01-08,State Senate,1,L,"ARIANOFF, Kimberly",149,56,122
Hawaii,01-08,State House,1,D,"NAKASHIMA, Mark M.",1181,315,728
Hawaii,01-08,State House,1,R,"YOUNG, Byron",237,78,222
Hawaii,01-09,President,,G,"STEIN, Jill",12,7,20
Hawaii,01-09,President,,L,"JOHNSON, Gary",21,6,23
Hawaii,01-09,President,,R,"TRUMP, Donald J.",106,35,162
Hawaii,01-09,President,,D,"CLINTON, Hillary",408,93,268
Hawaii,01-09,President,,C,"CASTLE, Darrell L.",10,0,10
Hawaii,01-09,U.S. Senate,,A,"GIUFFRE, John M. (Raghu)",5,0,2
Hawaii,01-09,U.S. Senate,,C,"ALLISON, Joy J.",5,3,14
Hawaii,01-09,U.S. Senate,,D,"SCHATZ, Brian",471,112,344
Hawaii,01-09,U.S. Senate,,L,"KOKOSKI, Michael A.",5,2,10
Hawaii,01-09,U.S. Senate,,R,"CARROLL, John",65,20,97
Hawaii,01-09,U.S. House,2,D,"GABBARD, Tulsi",480,116,372
Hawaii,01-09,U.S. House,2,R,"KAAIHUE, Angela Aulani",61,19,98
Hawaii,01-09,State Senate,1,D,"KAHELE, Kaiali'i",503,124,384
Hawaii,01-09,State Senate,1,L,"ARIANOFF, Kimberly",43,11,73
Hawaii,01-09,State House,1,D,"NAKASHIMA, Mark M.",470,107,297
Hawaii,01-09,State House,1,R,"YOUNG, Byron",63,27,140
Hawaii,02-01,President,,G,"STEIN, Jill",31,18,59
Hawaii,02-01,President,,L,"JOHNSON, Gary",30,9,30
Hawaii,02-01,President,,R,"TRUMP, Donald J.",233,83,158
Hawaii,02-01,President,,D,"CLINTON, Hillary",874,258,474
Hawaii,02-01,President,,C,"CASTLE, Darrell L.",17,4,9
Hawaii,02-01,U.S. Senate,,A,"GIUFFRE, John M. (Raghu)",4,4,6
Hawaii,02-01,U.S. Senate,,C,"ALLISON, Joy J.",24,7,36
Hawaii,02-01,U.S. Senate,,D,"SCHATZ, Brian",970,281,522
Hawaii,02-01,U.S. Senate,,L,"KOKOSKI, Michael A.",14,7,20
Hawaii,02-01,U.S. Senate,,R,"CARROLL, John",154,55,109
Hawaii,02-01,U.S. House,2,D,"GABBARD, Tulsi",971,304,576
Hawaii,02-01,U.S. House,2,R,"KAAIHUE, Angela Aulani",163,56,119
Hawaii,02-01,State Senate,1,D,"KAHELE, Kaiali'i",989,294,586
Hawaii,02-01,State Senate,1,L,"ARIANOFF, Kimberly",136,51,99
Hawaii,02-02,President,,G,"STEIN, Jill",8,11,21
Hawaii,02-02,President,,L,"JOHNSON, Gary",21,8,20
Hawaii,02-02,President,,R,"TRUMP, Donald J.",67,36,89
Hawaii,02-02,President,,D,"CLINTON, Hillary",266,103,242
Hawaii,02-02,President,,C,"CASTLE, Darrell L.",7,0,10
Hawaii,02-02,U.S. Senate,,A,"GIUFFRE, John M. (Raghu)",0,1,2
Hawaii,02-02,U.S. Senate,,C,"ALLISON, Joy J.",6,10,25
Hawaii,02-02,U.S. Senate,,D,"SCHATZ, Brian",301,113,262
Hawaii,02-02,U.S. Senate,,L,"KOKOSKI, Michael A.",3,4,14
Hawaii,02-02,U.S. Senate,,R,"CARROLL, John",51,25,64
Hawaii,02-02,U.S. House,2,D,"GABBARD, Tulsi",294,131,285
Hawaii,02-02,U.S. House,2,R,"KAAIHUE, Angela Aulani",58,19,76
Hawaii,02-02,State Senate,1,D,"KAHELE, Kaiali'i",309,128,299
Hawaii,02-02,State Senate,1,L,"ARIANOFF, Kimberly",46,23,71
Hawaii,02-03,President,,G,"STEIN, Jill",10,3,24
Hawaii,02-03,President,,L,"JOHNSON, Gary",5,5,12
Hawaii,02-03,President,,R,"TRUMP, Donald J.",47,19,97
Hawaii,02-03,President,,D,"CLINTON, Hillary",194,79,329
Hawaii,02-03,President,,C,"CASTLE, Darrell L.",4,1,9
Hawaii,02-03,U.S. Senate,,A,"GIUFFRE, John M. (Raghu)",0,0,1
Hawaii,02-03,U.S. Senate,,C,"ALLISON, Joy J.",3,6,25
Hawaii,02-03,U.S. Senate,,D,"SCHATZ, Brian",224,81,377
